Set,loss,Layer,Node,LR,Activation,loss_Func
1,0.4505351185798645,4,10,0.001,relu,mse
2,0.47548454999923706,4,10,0.001,relu,mae
3,0.4513697028160095,4,10,0.001,tanh,mse
4,0.48368602991104126,4,10,0.001,tanh,mae
5,0.4507048726081848,4,10,0.01,relu,mse
6,0.48408186435699463,4,10,0.01,relu,mae
7,0.45123550295829773,4,10,0.01,tanh,mse
8,0.48245370388031006,4,10,0.01,tanh,mae
9,0.450754314661026,3,10,0.001,relu,mse
10,0.4764915704727173,3,10,0.001,relu,mae
11,0.4522702097892761,3,10,0.001,tanh,mse
12,0.4826755225658417,3,10,0.001,tanh,mae
13,0.45079779624938965,3,10,0.01,relu,mse
14,0.47611168026924133,3,10,0.01,relu,mae
15,0.452423632144928,3,10,0.01,tanh,mse
16,0.4790315628051758,3,10,0.01,tanh,mae
17,0.38439667224884033,2,10,0.001,relu,mse
18,0.4684995412826538,2,10,0.001,relu,mae
19,0.45104607939720154,2,10,0.001,tanh,mse
20,0.4782670736312866,2,10,0.001,tanh,mae
21,0.3845342993736267,2,10,0.01,relu,mse
22,0.4683271646499634,2,10,0.01,relu,mae
23,0.4568919837474823,2,10,0.01,tanh,mse
24,0.4687322676181793,2,10,0.01,tanh,mae
25,0.37867242097854614,1,10,0.001,relu,mse
26,0.4608805775642395,1,10,0.001,relu,mae
27,0.4033442437648773,1,10,0.001,tanh,mse
28,0.4647543430328369,1,10,0.001,tanh,mae
29,0.3785656690597534,1,10,0.01,relu,mse
30,0.46248096227645874,1,10,0.01,relu,mae
31,0.42911094427108765,1,10,0.01,tanh,mse
32,0.4662785232067108,1,10,0.01,tanh,mae
33,0.3752329349517822,0,10,0.001,relu,mse
34,0.45652514696121216,0,10,0.001,relu,mae
35,0.6864272952079773,0,10,0.001,tanh,mse
36,0.4768475592136383,0,10,0.001,tanh,mae
37,0.36135345697402954,0,10,0.01,relu,mse
38,0.44954177737236023,0,10,0.01,relu,mae
39,0.6861364841461182,0,10,0.01,tanh,mse
40,0.4765421152114868,0,10,0.01,tanh,mae
41,0.4529098570346832,4,9,0.001,relu,mse
42,0.47571295499801636,4,9,0.001,relu,mae
43,0.4506753087043762,4,9,0.001,tanh,mse
